Timestamp,Where do you reside?,Age Range,Gender,"Before today, had you heard of AI deepfake or “nudify” tools that can create fake or sexualized images of real people?",Do you personally know someone who had a deepfake or non-consensual sexual AI image made of them?,Has a deepfake or “nudify” image ever been made of you without your permission?,"Have you ever used one of these deepfake or ""nudify"" services? ",Are you worried about this happening to you or those around you?,How easy do you think it is for someone your age to access deepfake or “nudify” tools?
11/30/2025 3:16:37,United States,22–25,Nonbinary,Yes,Yes,No,No,Yes,Very easy
11/30/2025 3:29:15,United States,26–30,Female,Yes,No,No,No,Yes,Very easy
11/30/2025 3:54:22,Europe,15–17,Prefer not to say,Yes,Maybe,No,No,Yes,Somewhat easy
11/30/2025 4:27:01,Europe,26–30,Female,Yes,No,No,No,Maybe,Very easy
11/30/2025 4:48:48,Europe,22–25,Male,Yes,No,No,No,No,Somewhat easy
11/30/2025 4:52:17,Australia ,22–25,Male,Yes,Maybe,No,No,Yes,Very easy
11/30/2025 4:56:40,Europe,22–25,Female,Yes,Maybe,No,No,Maybe,Very easy
11/30/2025 5:09:09,United States,18–21,Female,Yes,No,No,No,Yes,Very easy
11/30/2025 5:38:11,Europe,31+,Male,Yes,No,No,No,Maybe,Very easy
11/30/2025 5:45:55,Europe,31+,Female,Yes,No,No,No,Maybe,Very easy
11/30/2025 6:00:32,Australia,31+,Female,Yes,No,No,No,Yes,Somewhat easy
11/30/2025 6:06:44,Europe,31+,Male,Yes,No,No,No,No,Somewhat easy
11/30/2025 6:08:14,Europe,22–25,Female,Yes,No,No,No,Yes,Very easy
11/30/2025 6:12:13,Europe,26–30,Male,Yes,No,No,No,Maybe,Not sure
11/30/2025 6:22:21,Europe,18–21,Nonbinary,Yes,No,No,No,Yes,Very easy
11/30/2025 6:33:17,Europe,22–25,Female,Yes,No,No,No,Maybe,Very easy
11/30/2025 6:33:27,United Kingdom ,31+,Female,Yes,No,No,No,Yes,Very easy
11/30/2025 7:04:11,Brazil,18–21,Female,Yes,Yes,Yes,No,Yes,Somewhat easy
11/30/2025 7:38:53,Europe,22–25,Male,Yes,No,No,No,Yes,Very easy
11/30/2025 7:42:58,Russia,26–30,Female,Yes,Maybe,No,No,Maybe,Somewhat easy
11/30/2025 9:00:25,Europe,22–25,Nonbinary,Yes,No,No,No,Yes,Very easy
11/30/2025 9:47:16,Europe,22–25,Female,Yes,No,No,No,Yes,Somewhat easy
11/30/2025 17:58:42,Canada,31+,Female,Yes,No,No,No,Yes,Not sure
11/30/2025 19:10:33,Canada,15–17,Female,Yes,Yes,No,No,Yes,Very easy
11/30/2025 20:10:39,Canada,31+,Male,Yes,No,No,No,Yes,Very easy
11/30/2025 22:56:07,Canada,31+,Male,Yes,No,No,No,No,Somewhat easy
12/1/2025 2:19:57,Europe,22–25,Female,Yes,No,No,No,Yes,Very easy
12/1/2025 6:19:20,United States,31+,Female,Yes,Yes,Maybe,No,Yes,Very easy
12/1/2025 6:54:27,Scotland ,15–17,Female,Yes,No,Yes,No,Yes,Somewhat easy
12/1/2025 11:12:40,United States,31+,Female,Yes,Yes,Yes,No,Maybe,Very easy
12/1/2025 14:35:23,Europe,Under 15,Female,Yes,Yes,No,No,Yes,Very easy
12/1/2025 22:40:35,United States,15–17,Male,Yes,Yes,No,No,Maybe,Somewhat easy
12/2/2025 0:21:14,United States,22–25,Female,Yes,No,No,No,Yes,Very easy
